Tag;Description
Paizuri;Branlette espagnole
Gyaru ;Personnages féminins provocatrices et attirées par le sexe
Ahegao;Expressions du visages démesurées ou déformation du corps
NTR;Netorare = tromperie
BDSM;Domination
Bondage;Contrôle physique extrême, ligotage et (ou) torture
Tsundere;Personnage qui agit froidement, agressive ou méchante cahant ses sentiments au début mais s'attendrit par la suite
Loli;Personnage féminin à l'apparence très jeune
Shota;Personnage masculin à l'apparence très jeune 
Kemonomimi;oreilles & queues animales
Furry;Animaux humanisés
School life;Histoire se passant principalement dans une école
Cosplay;déguisements
Gang bang ;Sexe à plusieurs en même temps
Nurse;Infirmière
Maid;En général employées de cafés et restaurants Habillés en dentelle
Nun;Personnage féminin habillée de façon religieuse
Rape;V*ol
Inceste;Sexe dans un cadre familial
Yuri ;Sexe entre deux personnages féminins (en général secondaire et peu important dans l'histoire)
Vanilla; Relation amoureuse classique
Fantasy;Choses irréelles ou autre monde
Isekai;Voyage d'un personnage vers un autre monde (Fantasy en général)
Psychologique;Thème lourd ou Chantage ou manipulation mentale, parfois à l'aide d'un objet
Futanari ;Personnage féminin possédant un pénis
Harem;Plusieurs personnages amoureux(ses) d'un seul
Idols;Chanteuses cosplayées jouant des chorégraphies à un publique
Public Sex;Sexe en lieu publique ou entouré de personnes ou pas
Milf;Personnage féminin ainé ayant plus d'experience en sexe (+30 ans)
Virgin;Personnage féminin vierge ou personnage masculin puceau
Elf ;Personnages fantastiques à oreilles étirées
Succube;Créature fantastique féminine à apparence humaine ayant besoin de recevoir du sperme pour survivre
Giga seins;Seins VRAIMENT éNORMES
Masturbation; Plaisir sexuel en solo
Tentacules;En général des personnages féminin qui se font prendre par des créatures à tentacules
Voyeurisme;Espionnage à but sexuel
Masochisme;Personnage ressentant du plaisir à éprouver de la douleur et (ou) à être dominé
Horreur;Cadre et milieu effrayant
Erotica;Anime aux bords du hentai
Gender bender;Changement de sexe de manière surnaturelle ou douteuse voire même médicale
Monster girl ;Personnage féminin à l'apparence de créature mythique ou animale
Magical girl;Personnage féminin possédant des pouvoirs magiques
Fétichisme;Obsession d'un personnage à une pratique ou d'une chose
Femboy;Personnage masculin à l'apparence et au comportement féminin
Jeu NSFW;Gameplay de jeu à caractère sexuel
Condom;Rapport Sexuel protégé par un préservatif
Yandere ;Amour intense et obsessionnel voire dangereux
Nymphomanie;Personnage addicte au sexe avec une libido surdimensionnée
Surnaturel;Evennements anormales dans un cadre réaliste
Lactation;Lait maternel giclant ou coulant de seins
Yaoi;Catégorie spécialement ajoutée pour Jules C. (sexe entre personnages masculins)
Monster  ;Monstres à apparences non humaines
